Crash ID,Participant ID,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 1 Code,Participant Cause 2 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code,BAC Test Results Code,Alcohol Use Reported,Drug Use Reported,Participant Marijuana Use Reported,Participant Striker Flag
1809119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809119,3887884.0,20.0,1.0,1.0,1.0,6.0,,,,,,0.0,47.0,,,1.0,,,,,,0.0,9.0,0.0,0.0,,,,,
1809119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809119,3887885.0,66.0,1.0,1.0,9.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,9.0,9.0,0.0,,,,,
1809229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809229,3888073.0,41.0,2.0,4.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1809229,3888074.0,32.0,,,1.0,,,1.0,0.0,0.0,4.0,50.0,70.0,,,18.0,,,,,,0.0,9.0,1.0,0.0,,,,,
1809637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809637,3888766.0,90.0,2.0,4.0,1.0,2.0,1.0,,,,,0.0,47.0,81.0,,1.0,,,,,,0.0,9.0,0.0,0.0,,,,,
1810874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810874,3890872.0,44.0,1.0,1.0,9.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,4.0,0.0,0.0,0.0,,,,,
1810874,3890873.0,48.0,,,1.0,,,1.0,1.0,5.0,2.0,35.0,20.0,55.0,,4.0,19.0,,,,,0.0,9.0,1.0,0.0,,,,,
1812266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812266,3893223.0,20.0,3.0,1.0,3.0,9.0,1.0,,,,,0.0,20.0,47.0,51.0,4.0,1.0,33.0,,,,86.0,,1.0,0.0,,,,,
1812266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812266,3893224.0,59.0,1.0,1.0,1.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,1.0,0.0,,,,,
1812266,3893225.0,60.0,,,1.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,15.0,0.0,1.0,0.0,,,,,
1812266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812266,3893226.0,23.0,1.0,2.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1812266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812266,3893227.0,60.0,1.0,1.0,4.0,9.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1815964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815964,3899543.0,61.0,1.0,1.0,1.0,2.0,,,,,,0.0,28.0,4.0,,2.0,,,,,,0.0,0.0,1.0,0.0,,,,,
1815964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815964,3899544.0,20.0,1.0,1.0,3.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1816804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816804,3900916.0,29.0,1.0,1.0,1.0,0.0,1.0,,,,,0.0,50.0,81.0,,30.0,,,1.0,,,20.0,9.0,1.0,0.0,,,,,
1826266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826266,3916978.0,20.0,1.0,2.0,2.0,2.0,1.0,,,,,38.0,80.0,50.0,,27.0,5.0,30.0,,,,,0.0,0.0,0.0,,,,,
1826266,3916979.0,23.0,,,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826266,3916980.0,46.0,2.0,4.0,3.0,2.0,1.0,,,,,0.0,0.0,,,27.0,,,,,,,0.0,0.0,0.0,,,,,
1826321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826321,3917101.0,26.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1826321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826321,3917102.0,46.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,28.0,4.0,,2.0,8.0,,,,,,0.0,0.0,0.0,,,,,
1826321,3917103.0,16.0,,,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826490,3917488.0,20.0,1.0,1.0,2.0,2.0,1.0,,,,,17.0,51.0,50.0,79.0,33.0,30.0,,,,,86.0,0.0,0.0,0.0,,,,,
1826513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826513,3917534.0,28.0,1.0,1.0,3.0,2.0,1.0,,,,,17.0,51.0,44.0,79.0,33.0,27.0,,,,,21.0,1.0,,0.0,,,,,
1826513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826513,3917535.0,39.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1826513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826513,3917536.0,62.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1826513,3917537.0,59.0,,,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826673,3917894.0,64.0,1.0,1.0,9.0,2.0,,,,,,0.0,29.0,,,2.0,,,,,,,,,0.0,,,,,
1826673,3917895.0,9.0,,,2.0,,,1.0,5.0,1.0,3.0,34.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826673,3917896.0,7.0,,,3.0,,,1.0,5.0,1.0,3.0,34.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826673,3917897.0,44.0,,,4.0,,,1.0,5.0,1.0,3.0,34.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826794,3918161.0,56.0,1.0,2.0,9.0,2.0,0.0,,,,,0.0,43.0,26.0,52.0,27.0,7.0,32.0,,,,,0.0,0.0,0.0,,,,,
1826794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826794,3918162.0,25.0,1.0,2.0,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1826794,3918163.0,24.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826794,3918164.0,57.0,1.0,2.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1826794,3918165.0,53.0,,,3.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826794,3918166.0,49.0,2.0,4.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1826794,3918167.0,72.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826794,3918168.0,48.0,,,3.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826794,3918169.0,10.0,,,3.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826971,3918577.0,38.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1826971,3918578.0,29.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826971,3918579.0,2.0,,,9.0,4.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1826971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826971,3918580.0,87.0,1.0,1.0,3.0,2.0,0.0,,,,,0.0,28.0,,,2.0,,,,,,,0.0,0.0,0.0,,,,,
1827119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827119,3918896.0,25.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1827119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827119,3918897.0,38.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,28.0,4.0,,2.0,8.0,,,,,,0.0,0.0,0.0,,,,,
1827863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827863,3920553.0,21.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1827863,3920554.0,24.0,,,2.0,,,0.0,0.0,0.0,1.0,50.0,70.0,71.0,,19.0,18.0,,,,,,,,0.0,,,,,
1827872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827872,3920571.0,41.0,1.0,1.0,2.0,9.0,,,,,,0.0,51.0,81.0,,33.0,,,,,,85.0,1.0,,0.0,,,,,
1827872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827907,3920650.0,19.0,2.0,4.0,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,87.0,0.0,0.0,0.0,,,,,
1827907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827907,3920651.0,66.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,28.0,,,2.0,,,,,,87.0,0.0,0.0,0.0,,,,,
1828231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828231,3921428.0,33.0,1.0,1.0,2.0,6.0,,,,,,0.0,51.0,44.0,,33.0,5.0,,,,,22.0,1.0,,0.0,,,,,
1828231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828231,3921429.0,29.0,2.0,4.0,4.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1828287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828287,3921575.0,63.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,45.0,,,13.0,,,,,,,,,0.0,,,,,
1828287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828287,3921576.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1828314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828314,3921628.0,41.0,1.0,1.0,2.0,9.0,,,,,,0.0,51.0,81.0,,33.0,,,,,,11.0,1.0,,0.0,,,,,
1828373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828373,3921755.0,65.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1828373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828373,3921756.0,26.0,1.0,1.0,2.0,6.0,,,,,,0.0,28.0,34.0,50.0,2.0,6.0,30.0,1.0,,,86.0,0.0,0.0,0.0,,,,,
1828552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828552,3922161.0,22.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,26.0,,,29.0,,,,,,,,,0.0,,,,,
1828552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828552,3922162.0,24.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1828709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828709,3922555.0,21.0,0.0,1.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,,,0.0,,,,,
1828709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828709,3922556.0,66.0,2.0,4.0,3.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
