Crash ID,Vehicle ID,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Travel Direction From,Vehicle Travel Direction To,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag
1809119,,,,,,,,,,,,,,,,,,,,,,,
1809119,3409578,0,1,3,7,0,0,,,,,,0,0,1,0,0,1,1,,,,
1809119,3409578,,,,,,,,,,,,,,,,,,,1,0,0,1
1809119,3409579,0,3,1,3,15,0,,,,,,0,0,1,0,1,2,0,,,,
1809119,3409579,,,,,,,,,,,,,,,,,,,1,0,0,1
1809229,,,,,,,,,,,,,,,,,,,,,,,
1809229,3409765,1,1,0,0,0,0,,,,,,0,0,1,0,0,1,1,,,,
1809229,3409765,,,,,,,,,,,,,,,,,,,1,0,0,1
1809229,0,,,,,,,,,,,,,,,,,,,3,0,0,2
1809637,,,,,,,,,,,,,,,,,,,,,,,
1809637,3410470,0,1,3,7,0,0,,,62,10,,0,0,1,0,0,1,1,,,,
1809637,3410470,,,,,,,,,,,,,,,,,,,1,0,0,1
1810874,,,,,,,,,,,,,,,,,,,,,,,
1810874,3412622,0,1,7,3,0,0,,,,,,0,0,1,0,0,1,1,,,,
1810874,3412622,,,,,,,,,,,,,,,,,,,1,0,0,1
1810874,0,,,,,,,,,,,,,,,,,,,3,0,0,1
1812266,,,,,,,,,,,,,,,,,,,,,,,
1812266,3415030,0,1,4,8,0,0,,,,,,0,0,0,0,1,1,1,,,,
1812266,3415030,,,,,,,,,,,,,,,,,,,1,1,0,1
1812266,3415031,0,1,5,1,0,0,,,,,,0,0,2,0,0,2,0,,,,
1812266,3415031,,,,,,,,,,,,,,,,,,,1,0,0,2
1812266,3415031,,,,,,,,,,,,,,,,,,,2,0,0,2
1812266,3415032,0,1,1,5,22,0,,,,,,0,0,0,0,1,1,0,,,,
1812266,3415032,,,,,,,,,,,,,,,,,,,1,0,0,2
1812266,3415033,0,1,1,5,22,0,,,,,,0,0,0,0,1,1,0,,,,
1812266,3415033,,,,,,,,,,,,,,,,,,,1,0,0,2
1815964,,,,,,,,,,,,,,,,,,,,,,,
1815964,3421313,0,3,1,3,0,0,,,,,,0,0,1,0,0,1,1,,,,
1815964,3421313,,,,,,,,,,,,,,,,,,,1,0,0,1
1815964,3421314,0,1,5,1,0,0,,,10,,,0,0,0,0,1,1,0,,,,
1815964,3421314,,,,,,,,,,,,,,,,,,,1,0,0,1
1816804,,,,,,,,,,,,,,,,,,,,,,,
1816804,3422688,0,1,7,3,0,0,,,96,10,128,1,0,0,1,0,1,1,,,,
