ID,County,State,TotalPop,Total income,poverty population,poverty percentage,percapitalincome
1,Abbeville,South Carolina,24788,476778519.0,5618.0,23.0,19234.0
2,Acadia Parish,Louisiana,62607,1351742032.0,13543.0,22.0,21591.0
3,Accomack,Virginia,32840,796884076.0,6537.0,20.0,24266.0
4,Ada,Idaho,435117,13768109023.0,51819.0,12.0,31642.0
5,Adair,Iowa,7192,207567288.0,681.0,9.0,28861.0
6,Adair,Kentucky,19304,355349728.0,4141.0,21.0,18408.0
7,Adair,Missouri,25437,553972065.0,7602.0,30.0,21778.0
8,Adair,Oklahoma,22136,366922811.0,6827.0,31.0,16576.0
9,Adams,Colorado,487850,13409455878.0,59664.0,12.0,27487.0
10,Adams,Idaho,3946,95945016.0,546.0,14.0,24314.0
11,Adams,Illinois,66787,1820318460.0,8851.0,13.0,27256.0
12,Adams,Indiana,35018,754064691.0,6629.0,19.0,21534.0
13,Adams,Iowa,3785,102279171.0,428.0,11.0,27022.0
14,Adams,Mississippi,31583,559691415.0,10620.0,34.0,17721.0
15,Adams,Nebraska,31564,886484281.0,3972.0,13.0,28085.0
16,Adams,North Dakota,2368,85089344.0,218.0,9.0,35933.0
17,Adams,Ohio,27926,565461723.0,6662.0,24.0,20249.0
18,Adams,Pennsylvania,101589,3015618781.0,9426.0,9.0,29685.0
19,Adams,Washington,19261,354681143.0,4448.0,23.0,18414.0
20,Adams,Wisconsin,20111,500233619.0,2617.0,13.0,24874.0
21,Addison,Vermont,36825,1143472841.0,3023.0,8.0,31052.0
22,Adjuntas Municipio,Puerto Rico,18525,131847918.0,11883.0,64.0,7117.0
23,Aguada Municipio,Puerto Rico,39470,355268324.0,20589.0,52.0,9001.0
24,Aguadilla Municipio,Puerto Rico,55722,605784692.0,28635.0,51.0,10872.0
25,Aguas Buenas Municipio,Puerto Rico,26855,285067732.0,12966.0,48.0,10615.0
26,Aibonito Municipio,Puerto Rico,24008,245450516.0,11816.0,49.0,10224.0
27,Aiken,South Carolina,165707,4345188506.0,27740.0,17.0,26222.0
28,Aitkin,Minnesota,15841,425856947.0,1930.0,12.0,26883.0
29,Alachua,Florida,259865,6868558999.0,61532.0,24.0,26431.0
30,Alamance,North Carolina,157844,3970890250.0,27667.0,18.0,25157.0
31,Alameda,California,1629615,67405147895.0,188472.0,12.0,41363.0
32,Alamosa,Colorado,16345,314096388.0,4594.0,28.0,19217.0
33,Albany,New York,308580,10885950656.0,37665.0,12.0,35278.0
34,Albany,Wyoming,37944,987849861.0,9496.0,25.0,26034.0
35,Albemarle,Virginia,105105,4127812350.0,13465.0,13.0,39273.0
36,Alcona,Michigan,10413,254738053.0,1549.0,15.0,24463.0
37,Alcorn,Mississippi,37242,764460577.0,7333.0,20.0,20527.0
38,Aleutians East Borough,Alaska,3338,104325852.0,557.0,17.0,31254.0
39,Aleutians West Census Area,Alaska,5784,208207626.0,450.0,8.0,35997.0
40,Alexander,Illinois,6776,125788710.0,2268.0,33.0,18564.0
41,Alexander,North Carolina,37159,841858006.0,5415.0,15.0,22656.0
42,Alexandria city,Virginia,154710,8821348744.0,16138.0,10.0,57019.0
43,Alfalfa,Oklahoma,5877,164594490.0,616.0,10.0,28007.0
44,Alger,Michigan,9254,201474563.0,1172.0,13.0,21772.0
45,Allamakee,Iowa,13940,381639581.0,1587.0,11.0,27377.0
46,Allegan,Michigan,114145,3101561024.0,12320.0,11.0,27172.0
47,Allegany,Maryland,72591,1622736386.0,12128.0,17.0,22355.0
48,Allegany,New York,47400,1060626096.0,7961.0,17.0,22376.0
49,Alleghany,North Carolina,10935,231312806.0,2305.0,21.0,21153.0
50,Alleghany,Virginia,15489,401970504.0,3011.0,19.0,25952.0
51,Allegheny,Pennsylvania,1229605,43379054355.0,159626.0,13.0,35279.0
52,Allen,Indiana,367747,9904240830.0,54891.0,15.0,26932.0
53,Allen,Kansas,12752,293432820.0,1820.0,14.0,23011.0
54,Allen,Kentucky,20628,446645089.0,4124.0,20.0,21652.0
55,Allen,Ohio,104157,2557202010.0,15619.0,15.0,24551.0
56,Allen Parish,Louisiana,25667,515975084.0,4465.0,17.0,20103.0
57,Allendale,South Carolina,9402,126356133.0,2862.0,30.0,13439.0
58,Alpena,Michigan,28730,690384582.0,4304.0,15.0,24030.0
59,Alpine,California,1203,33019944.0,238.0,20.0,27448.0
60,Amador,California,37306,1105289758.0,3735.0,10.0,29628.0
61,Amelia,Virginia,12802,334358249.0,1656.0,13.0,26118.0
62,Amherst,Virginia,31819,773089125.0,4276.0,13.0,24296.0
63,Amite,Mississippi,12574,247258579.0,2868.0,23.0,19664.0
64,Anchorage Municipality,Alaska,298225,11623951539.0,24200.0,8.0,38977.0
65,Anderson,Kansas,7840,171590152.0,1063.0,14.0,21886.0
66,Anderson,Kentucky,22017,550234891.0,2646.0,12.0,24991.0
67,Anderson,South Carolina,194174,4754288251.0,30257.0,16.0,24485.0
68,Anderson,Tennessee,75538,2037378752.0,12337.0,16.0,26972.0
69,Anderson,Texas,57747,1008607377.0,10069.0,17.0,17466.0
70,Andrew,Missouri,17358,486075217.0,1560.0,9.0,28003.0
71,Andrews,Texas,17577,525612175.0,2100.0,12.0,29903.0
72,Androscoggin,Maine,107317,2819897483.0,15730.0,15.0,26276.0
73,Angelina,Texas,87700,1927091203.0,16870.0,19.0,21974.0
74,Anne Arundel,Maryland,564600,24423375744.0,33661.0,6.0,43258.0
75,Anoka,Minnesota,344861,11835992914.0,22712.0,7.0,34321.0
76,Anson,North Carolina,25531,487766317.0,5644.0,22.0,19105.0
77,Antelope,Nebraska,6406,179947766.0,743.0,12.0,28091.0
78,Antrim,Michigan,23133,677967715.0,2917.0,13.0,29307.0
79,Apache,Arizona,71602,992770245.0,25622.0,36.0,13865.0
80,Appanoose,Iowa,12547,320493341.0,2142.0,17.0,25543.0
81,Appling,Georgia,18471,368247717.0,4583.0,25.0,19937.0
82,Appomattox,Virginia,15462,407383158.0,2219.0,14.0,26347.0
83,Aransas,Texas,24832,744944136.0,4426.0,18.0,29999.0
84,Arapahoe,Colorado,626612,23153905721.0,62099.0,10.0,36951.0
85,Archer,Texas,8793,273485777.0,778.0,9.0,31103.0
86,Archuleta,Colorado,12592,369501723.0,1466.0,12.0,29344.0
87,Arecibo Municipio,Puerto Rico,89550,891413992.0,43591.0,49.0,9954.0
88,Arenac,Michigan,15238,344715539.0,2815.0,18.0,22622.0
89,Arkansas,Arkansas,18352,436146107.0,3780.0,21.0,23766.0
90,Arlington,Virginia,229534,15390718634.0,18686.0,8.0,67052.0
91,Armstrong,Pennsylvania,66737,1701941865.0,8683.0,13.0,25502.0
