ID,County,State,TotalPop,poverty percentage,percapitalincome,cases,deaths,TotalCasesPer100K,TotalDeathsPer100K
1,Abbeville,South Carolina,24788,23.0,19234.0,204553,3900.0,825209.7789252865,15733.41939648217
2,Accomack,Virginia,32840,20.0,24266.0,387085,5723.0,1178699.7563946405,17426.91839220463
3,Ada,Idaho,435117,12.0,31642.0,5230256,50724.0,1202034.395346539,11657.554175083944
4,Adair,Iowa,7192,9.0,28861.0,70396,1792.0,978809.7886540601,24916.57397107898
5,Adair,Kentucky,19304,21.0,18408.0,178833,8026.0,926403.8541234977,41576.87525901368
6,Adair,Missouri,25437,30.0,21778.0,215543,1022.0,847360.1446711484,4017.769391044542
7,Adair,Oklahoma,22136,31.0,16576.0,273395,2906.0,1235069.5699313337,13127.936393205639
8,Adams,Colorado,487850,12.0,27487.0,5304490,85634.0,1087319.8729117557,17553.34631546582
9,Adams,Idaho,3946,14.0,24314.0,26750,394.0,677901.6725798276,9984.79472883933
10,Adams,Illinois,66787,13.0,27256.0,776519,10451.0,1162679.8628475603,15648.25489990567
11,Adams,Indiana,35018,19.0,21534.0,290788,4051.0,830395.7964475413,11568.3362841967
12,Adams,Iowa,3785,11.0,27022.0,30001,251.0,792628.7978863936,6631.439894319683
13,Adams,Mississippi,31583,34.0,17721.0,302532,11478.0,957895.0701326663,36342.336066871416
14,Adams,Nebraska,31564,13.0,28085.0,306114,5309.0,969820.0481561273,16819.794702826006
15,Adams,North Dakota,2368,9.0,35933.0,24018,136.0,1014273.6486486486,5743.243243243243
16,Adams,Ohio,27926,24.0,20249.0,154722,1993.0,554042.8274726062,7136.718470242784
17,Adams,Pennsylvania,101589,9.0,29685.0,553838,12739.0,545175.1666026834,12539.743476163758
18,Adams,Washington,19261,23.0,18414.0,248792,2482.0,1291687.866673589,12886.142983230362
19,Adams,Wisconsin,20111,13.0,24874.0,171013,1701.0,850345.5820197901,8458.057779324747
20,Addison,Vermont,36825,8.0,31052.0,54295,860.0,147440.5974202308,2335.3699932111335
21,Aiken,South Carolina,165707,17.0,26222.0,1361724,21986.0,821766.1293729293,13267.997127459914
22,Aitkin,Minnesota,15841,12.0,26883.0,108658,3180.0,685928.9186288745,20074.490246827852
23,Alachua,Florida,259865,24.0,26431.0,2544160,19787.0,979031.4201604679,7614.338214072691
24,Alamance,North Carolina,157844,18.0,25157.0,1535561,22025.0,972834.5708420972,13953.650439674615
25,Alameda,California,1629615,12.0,41363.0,7863819,121293.0,482556.86159000744,7443.046363711674
26,Alamosa,Colorado,16345,28.0,19217.0,131098,3495.0,802067.9106760477,21382.68583664729
27,Albany,New York,308580,12.0,35278.0,1734200,48609.0,561993.6483245837,15752.47909780284
28,Albany,Wyoming,37944,25.0,26034.0,409940,1080.0,1080381.6150115961,2846.2998102466795
29,Albemarle,Virginia,105105,13.0,39273.0,451336,5944.0,429414.3951286808,5655.297083868512
30,Alcona,Michigan,10413,15.0,24463.0,37933,1746.0,364285.0283299722,16767.50216076059
31,Alcorn,Mississippi,37242,20.0,20527.0,307028,5380.0,824413.2968154235,14446.055528704152
32,Aleutians East Borough,Alaska,3338,17.0,31254.0,10261,2.0,307399.6405032954,59.916117435590174
33,Aleutians West Census Area,Alaska,5784,8.0,35997.0,33774,0.0,583921.1618257262,0.0
34,Alexander,Illinois,6776,33.0,18564.0,44393,661.0,655150.5312868949,9755.017709563164
35,Alexander,North Carolina,37159,15.0,22656.0,327558,4185.0,881503.8079603865,11262.412874404587
36,Alexandria city,Virginia,154710,10.0,57019.0,1318235,20360.0,852068.3860125396,13160.106004783143
37,Alfalfa,Oklahoma,5877,10.0,28007.0,86419,311.0,1470461.119618853,5291.815552152459
38,Alger,Michigan,9254,13.0,21772.0,48500,271.0,524097.68748649233,2928.4633671925653
